query_id,category,question,expected_answer,generated_answer,response_time(sec),retrieved_source_count,retrieved_sources
52,Treatment,Who is eligible for Deep Brain Stimulation?,Patients with advanced Parkinson's disease who respond to Levodopa but experience severe motor fluctuations or dyskinesia may be suitable candidates for Deep Brain Stimulation.,Deep brain stimulation is useful for individuals with Parkinson disease who have medication-responsive motor symptoms but who have complications such as off periods or dyskinesias that are not responsive to medication adjustments.,5.25,5,data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\treatment\Diagnosis-and-Treatment-of-Parkinson-Disease_-A-Review.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
53,Treatment,Can exercise improve Parkinson's disease?,"Yes. Regular exercise improves balance, flexibility, strength, gait, mobility, and overall quality of life in people with Parkinson's disease.","Yes, research shows that regular exercise can help people with Parkinson's Disease (PD) manage symptoms such as stiffness, slowness, balance problems, and walking difficulties. It can also improve coordination, the ability to handle everyday tasks, and support thinking skills like planning, multitasking, and staying organized.

Exercise is considered a core aspect of Parkinson's treatment and symptom management, helping to fight the disease and reduce setbacks. Vigorous exercise is associated with improved cognitive functioning and can increase gray matter volume in the brain. Starting and consistently maintaining an exercise routine has positive effects on self-reported health-related quality of life and mobility.",3.12,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf
54,Treatment,Does physiotherapy help Parkinson's disease?,"Yes. Physiotherapy helps improve movement, posture, balance, muscle strength, flexibility, and walking ability.","The guideline committee felt that physiotherapy was beneficial for those earlier in the course of Parkinson's disease, as it may delay or lessen problems associated with symptoms, and also for those who have already developed symptoms and problems. Physiotherapy interventions target impairments and activity limitations experienced by people with Parkinson's disease. However, at present, no substantial evidence exists to support the efficacy of physiotherapy as an early intervention to prevent the onset or reduce the severity of motor symptoms, because most trials have been conducted in people who have already developed motor symptoms.",5.02,5,data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf
55,Treatment,What is occupational therapy?,"Occupational therapy helps patients maintain independence by improving their ability to perform daily activities such as dressing, eating, writing, and personal care.","An occupational therapist (OT) helps people participate in daily activities such as dressing, bathing, cooking, writing, typing, driving, and grooming, and other activities they want to continue to do despite having Parkinson's. They can provide strategies to help individuals stick to an exercise program and maximize engagement in meaningful daily activities.

Occupational therapists can:
*   Suggest ways to organize routines, break tasks into steps, or adjust the home environment (e.g., lighting, layout, reducing clutter) to improve safety and make activities easier and less stressful.
*   Help make the most of mobility with various daily activities.
*   Provide modifications for work and the workplace environment.
*   Conduct an initial functional evaluation prior to starting exercise sessions.
*   Evaluate and treat mobility and walking problems.
*   Recommend and teach the use of adaptive equipment and walking devices.
*   Evaluate and treat joint or muscle pain that interferes with mobility and activities of daily living (ADLs).
*   Teach care partners proper body mechanics and techniques for assisting someone with PD with mobility and ADLs.
*   Identify barriers that have led to not exercising in the past.
*   Provide services that support mental and physical health and wellness, helping individuals learn coping strategies and create healthy routines.

They complete a master’s or doctoral degree from an accredited occupational school and must pass a state licensure exam.",4.74,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Fitness-Counts-Book-2025.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Practical-Pointers-Guide-2026.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\mood.pdf
56,Treatment,Can speech therapy help Parkinson's disease?,"Yes. Speech therapy improves speech clarity, voice volume, swallowing ability, and communication skills.","Yes, speech therapy can help people with Parkinson's disease. It is considered essential to the quality of life for patients and can improve vocal pitch and range, leading to improved communication.

Speech and language therapy is offered to people with Parkinson's disease who are experiencing problems with communication, swallowing, or saliva. This includes strategies to improve the safety and efficiency of swallowing to minimize the risk of aspiration, such as expiratory muscle strength training (EMST), and strategies to improve speech and communication, such as attention to effort therapies.

Typical therapy includes exercises, strategies, and tools to improve speech clarity, strengthen muscles, and enhance communication, as well as swallowing therapy to strengthen muscles for breathing, coughing, and swallowing.",3.73,5,data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\Speech and Swallowing June 2025.pdf
57,Treatment,What treatments are available for tremors?,"Tremors may be treated using medications such as Levodopa, dopamine agonists, anticholinergic drugs, or Deep Brain Stimulation in selected patients.","Treatments available for tremors include:

*   Medication (such as levodopa, dopamine agonists, and monoamine oxidase-B inhibitors)
*   Anticholinergic medicines
*   Amantadine
*   Deep brain stimulation
*   Other therapies",4.54,5,data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\case_reports\tre-09-670.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf
58,Treatment,Can medication stop disease progression?,No. Current medications improve symptoms but do not stop or reverse the progression of Parkinson's disease.,I could not find sufficient information in the provided documents.,2.29,5,data\Parkinson_Disease\research_papers\AI_in_PD\41598_2023_Article_30038.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\AI_in_PD\41598_2023_Article_30038.pdf
59,Treatment,What are advanced treatments for Parkinson's disease?,"Advanced treatments include Deep Brain Stimulation, continuous Levodopa intestinal gel infusion, continuous apomorphine infusion, and multidisciplinary rehabilitation.",Deep brain stimulation and other therapies can help the tremors and reduce the need for medicines.,23.58,5,data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf | data\Parkinson_Disease\foundation_resources\APDA\Education & Support _ American Parkinson Disease Assoc_.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf
60,Treatment,How often should Parkinson's medication be taken?,Medication schedules vary by patient and should be followed exactly as prescribed to maintain stable symptom control.,"People with Parkinson's typically take different medications at specific times throughout the day and sometimes at night. As Parkinson's Disease progresses, medication routines often become more complex. For example, a person with PD may go from taking medication twice a day to taking it every two hours to manage symptoms. It is important to take medications within 15 minutes of the usual schedule.",4.88,5,data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
61,Treatment,Can treatment improve quality of life?,"Yes. Appropriate medical treatment, rehabilitation, exercise, and supportive care can significantly improve quality of life and daily functioning.","Yes, treatment can improve quality of life.

The provided context states:
*   ""Five high-quality studies... and 2 moderate-quality studies supported the use of community-based exercise to improve quality of life in individuals with PD.""
*   ""Most studies that demonstrated improvements in quality of life included some aspect of mindful movement or awareness of movement.""
*   ""Two additional moderate-quality studies supported the finding that integrated care was associated with better quality-of-life outcomes compared with medical management alone.""
*   ""At 6 weeks, there was a beneficial effect of increased rehabilitation hours on quality of life (PDQ-39), and effects persisted at 6 months.""
*   Benefits of implementing recommendations include ""Improved participation: disease-related quality of life and physical activity"" and ""Improvements in quality of life.""",4.58,5,data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf | data\Parkinson_Disease\research_papers\rehabilitation\pzab302.pdf
62,Treatment,What happens if Parkinson's disease is untreated?,"Without treatment, symptoms usually worsen over time, leading to increasing disability, reduced mobility, balance problems, and decreased quality of life.","Parkinson's disease is a disorder of the nervous system that affects movement and gets worse over time. It causes nerve cells in parts of the brain to weaken, become damaged, and die. As symptoms get worse, people with Parkinson's disease may have difficulty walking, talking, or completing everyday tasks, and it can become increasingly difficult to carry out everyday activities without help. The condition can place great strain on the body and make some people more vulnerable to serious and life-threatening infections.",3.74,5,data\Parkinson_Disease\patient_education\Parkinson's disease - NHS_overview.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf
63,Treatment,Are there any new therapies for Parkinson's disease?,"Researchers are investigating gene therapy, stem cell therapy, neuroprotective drugs, immunotherapy, and disease-modifying treatments, although most remain experimental.",I could not find sufficient information in the provided documents.,2.9,5,data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf | data\Parkinson_Disease\foundation_resources\APDA\Education & Support _ American Parkinson Disease Assoc_.pdf
64,Treatment,Can stem cells treat Parkinson's disease?,Stem cell therapy is currently under clinical investigation and is not yet an established standard treatment for Parkinson's disease.,"Yes, stem cell treatments are emerging as a promising approach for the development of a useful regenerative treatment for Parkinson's disease. They are predominantly intended to treat the motor symptoms of PD and may offer significant symptomatic benefit to those with predominantly motor symptoms. However, they will not have any disease-modifying effect and will not treat the major non-motor symptoms. There is genuine hope that stem cells will enter the clinic in the short- to medium-term future.",3.73,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
65,Treatment,What are future treatments for Parkinson's disease?,"Future treatments include gene therapy, stem cell therapy, alpha-synuclein-targeted therapies, precision medicine, and neuroprotective approaches aimed at slowing disease progression.",I could not find sufficient information in the provided documents.,1.77,5,data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf | data\Parkinson_Disease\foundation_resources\APDA\Education & Support _ American Parkinson Disease Assoc_.pdf | data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf | data\Parkinson_Disease\guidelines\WHO\content WHO-Guidelines.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf
66,Medications,What is Levodopa used for?,"Levodopa is used to treat the motor symptoms of Parkinson's disease, including tremor, rigidity, and bradykinesia, by increasing dopamine levels in the brain.","Most people with Parkinson's disease eventually need a medication called levodopa. It is absorbed by nerve cells in the brain and converted into dopamine, which helps transmit messages between parts of the brain and nerves that control movement. Increasing dopamine levels with levodopa usually improves movement problems and can cause a dramatic improvement in symptoms. Levodopa remains the most effective medication for the treatment of motor symptoms.",2.09,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf
67,Medications,What is Carbidopa?,"Carbidopa is combined with Levodopa to prevent its breakdown before reaching the brain, increasing effectiveness and reducing side effects such as nausea.","Carbidopa prevents levodopa from breaking down in the bloodstream before it reaches the brain. Therefore, the addition of carbidopa allows levodopa to get into the brain more efficiently.",2.27,5,data\Parkinson_Disease\guidelines\WHO\Parkinson disease WEB.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf
68,Medications,How do dopamine agonists work in Parkinson's disease?,"Dopamine agonists directly stimulate dopamine receptors in the brain, helping improve motor symptoms without being converted into dopamine.",I could not find sufficient information in the provided documents.,2.64,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\sleep.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
69,Medications,What is Selegiline?,"Selegiline is a monoamine oxidase-B (MAO-B) inhibitor that slows dopamine breakdown, helping prolong dopamine activity and improve symptoms.","Selegiline (also known as L-deprenyl, Eldepryl, Zelapar, or Emsam) is a selective monoamine oxidase B (MAO-B) inhibitor. It works by blocking the MAO-B enzyme in the brain, which breaks down dopamine, thereby increasing dopamine levels. It is an irreversible (""suicide"") inhibitor of the MAO-B enzyme.

Selegiline can be used alone or with other Parkinson's Disease medications, such as carbidopa/levodopa, to increase its benefits and has been found efficacious when added to levodopa in patients with motor fluctuations. It is available as a tablet, capsule, orally disintegrating tablet, or patch. Selegiline has a very mild symptomatic benefit and can have stimulating effects, which may benefit some people but cause jitteriness, confusion, or sleep issues for others.",5.88,5,data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Medications_Movement_Symptoms_1225.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf
70,Medications,What is Rasagiline?,Rasagiline is an MAO-B inhibitor that increases dopamine availability in the brain and is used alone or with Levodopa to manage Parkinson's disease.,"Rasagiline is an MOA-B inhibitor that is taken once daily and is generally well tolerated. It may be considered for the reduction in off-time in patients with advanced Parkinson's disease and has shown modest symptomatic benefit. Its effect on disease progression is uncertain, and it cannot be recommended as a disease-modifying treatment.",24.45,5,data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease (1).pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\review_articles\795.full.pdf
71,Medications,What is Entacapone?,Entacapone is a COMT inhibitor that prolongs the effect of Levodopa by reducing its breakdown outside the brain.,"Entacapone (Comtan®) is a Catechol-O-Methyltransferase (COMT) inhibitor. It is sometimes used with carbidopa-levodopa to prevent the breakdown of levodopa before it reaches the brain, thereby increasing the benefits of carbidopa/levodopa and decreasing ""off"" time in patients with advanced Parkinson's. It is available as a 200 mg tablet.",23.58,5,data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Medications_Movement_Symptoms_1225.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf
72,Medications,What are COMT inhibitors?,"COMT inhibitors are medications that block catechol-O-methyltransferase, extending the duration of Levodopa's therapeutic effect.",COMT inhibitors are a therapeutic means of preserving endogenous dopamine levels by reducing its breakdown. They prevent levodopa from being broken down by the enzyme COMT before it reaches the brain. They are sometimes used with carbidopa-levodopa and are prescribed for people in later stages of Parkinson's disease.,2.83,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\foundation_resources\APDA\APDA24496A_BasicHandbook_ENG_TCD7FN_WEB.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
73,Medications,What medications reduce tremors?,Levodopa is the most effective medication for tremors. Dopamine agonists and anticholinergic drugs may also help selected patients.,"Anticholinergic medicines, amantadine, and carbidopa-levodopa can help reduce tremors.",2.49,5,data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf
74,Medications,Can Parkinson's medications cause nausea?,"Yes. Nausea is a common side effect, particularly when starting Levodopa or dopamine agonists, but it often improves with treatment adjustments.","Yes, nausea is a common early and dose-dependent adverse effect of levodopa, a medication used for Parkinson's disease. Levodopa can also cause feeling and being sick.",1.89,5,data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf
75,Medications,Do Parkinson's medications cause hallucinations?,"Yes. Hallucinations may occur, especially in older adults or patients taking dopamine agonists or high doses of dopaminergic medications.","Yes, Parkinson's disease medicines might trigger hallucinations or delusions. The context states that reducing the dosage of any Parkinson's disease medicines that might have triggered them is a course of action. It also mentions that antiparkinsonian medications have a greater potential for worsening psychosis, which includes hallucinations. Furthermore, studies comparing levodopa with dopamine agonists (DAs) indicate that the risk of hallucinations was higher with DAs.",3.22,5,data\Parkinson_Disease\research_papers\AI_in_PD\41598_2023_Article_30038.pdf | data\Parkinson_Disease\guidelines\NICE\parkinsons-disease-in-adults-pdf-NICE-Guideline.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf
76,Medications,Can medications affect sleep?,"Yes. Parkinson's medications may cause excessive daytime sleepiness, insomnia, vivid dreams, or sudden sleep episodes.","Yes, medications can affect sleep.

Some Parkinson's medications, like MAO-B inhibitors (selegiline, rasagiline, safanimide) and amantadine, have alerting properties and may worsen insomnia. Dopaminergic medications, including levodopa and dopamine agonists, have been linked with excessive sleepiness and sleep attacks. Antipsychotics and antidepressants can also contribute to sleepiness.

Conversely, some medications can improve sleep. Taking a nighttime dose of controlled- or extended-release carbidopa-levodopa (Sinemet CR or Rytary) may improve sleep. While dopamine agonists have been associated with nightmares, vivid dreams, and daytime sleepiness, some studies reported improvements in sleep quality. Treating depression with a well-selected antidepressant can improve symptoms of insomnia. Prescription sleep medication eszopiclone (Lunesta) and the over-the-counter supplement melatonin may also be considered. Sedatives like zolpidem (Ambien) can be addictive, contribute to daytime grogginess, and lead to troubling behaviors.

For excessive daytime sleepiness (EDS), ""wake-promoting"" medications such as bupropion (Wellbutrin), methylphenidate (Concerta, Ritalin), and modafinil (Provigil) can be considered. Amphetamines, used as a last resort, can disrupt nighttime sleep.",4.85,5,data\Parkinson_Disease\foundation_resources\patient_education_fr\sleep.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\sleep.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\sleep.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\sleep.pdf | data\Parkinson_Disease\foundation_resources\patient_education_fr\sleep.pdf
77,Medications,Can Parkinson's drugs cause dizziness?,"Yes. Some medications may lower blood pressure, leading to dizziness or lightheadedness, particularly when standing.","Yes, Parkinson's drugs can cause dizziness.

Specifically:
*   **Levodopa** can cause dizziness.
*   **COMT inhibitor medicines** (entacapone, opicapone, and tolcapone) can cause dizziness.",5.99,5,data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\guidelines\NINDS-NIH\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf | data\Parkinson_Disease\patient_education\Parkinson's Disease _ National Institute of Neurological Disorders and Stroke.pdf
78,Medications,What are common side effects of Levodopa?,"Common side effects include nausea, dizziness, dyskinesia, hallucinations, and fluctuations in motor response after long-term treatment.","Common side effects of Levodopa include:
*   Feeling and being sick (nausea and vomiting)
*   Tiredness
*   Dizziness
*   Postural hypotension (also referred to as orthostatic hypotension)
*   Dyskinesias
*   Hallucinations
*   Insomnia
*   Headache
*   Sweating
*   Salivation
*   Chest pain
*   Cardiac irregularities
*   Dry mouth
*   Excessive daytime sleepiness",5.37,5,data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease (1).pdf
79,Medications,How long does Levodopa work?,"The duration of Levodopa varies by patient and disease stage, but each dose typically provides symptom relief for several hours.","The clinical effect of levodopa is generally noticed quickly and may last for several hours, particularly in the early stages of the disease. However, as Parkinson's disease becomes more advanced, the effect of the drug usually wears off after shorter durations, and an increased frequency of dosing is often required. Its effects can become less long-lasting over the years.

Carbidopa/levodopa Immediate-release typically starts working within 45 minutes. Carbidopa/levodopa Controlled-release is designed to last longer, but may not provide enough symptom relief for some people.",3.42,5,data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\Medications_Movement_Symptoms_1225.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\review_articles\795.full.pdf | data\Parkinson_Disease\guidelines\Canadian Guideline\canadian-guideline-for-parkinson-disease-full canada guideline.pdf | data\Parkinson_Disease\research_papers\pathogenesis\Bookshelf_NBK536721.pdf
80,Medications,Can Parkinson's medication stop working?,"Medications usually continue to work, but their effectiveness may fluctuate over time as the disease progresses, resulting in 'wearing-off' episodes.","At first, levodopa can cause a dramatic improvement in the symptoms. But its effects can be less long-lasting over the following years – as more nerve cells in the brain are lost, there are fewer of them to absorb the medicine.",23.07,5,data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\patient_education\Parkinson's disease - Treatment - NHS.pdf
81,Medications,What is dyskinesia?,"Dyskinesia refers to involuntary, uncontrolled movements that often develop after long-term Levodopa therapy.","L-dopa induced dyskinesias (LID’s) are adventitious involuntary movements that may be choreic, dystonic, or mixed in appearance. They occur in different temporal association to the L-Dopa response cycle.",2.52,5,data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\research_papers\overview\Schrag-a_Parkinsons disease primer 2.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf | data\Parkinson_Disease\research_papers\treatment\Diagnosis-and-Treatment-of-Parkinson-Disease_-A-Review.pdf | data\Parkinson_Disease\guidelines\ANN\Dopaminergic Therapy for Motor Symptoms in Early Parkinson Disease.pdf
82,Medications,Can medication cause involuntary movements?,Yes. Long-term use of Levodopa and other dopaminergic therapies may lead to involuntary movements known as dyskinesia.,"Yes, medication can cause involuntary movements. Dyskinesias, described as involuntary, large amplitude and fidgety movements, are often caused by dopamine and can arise when using high dose dopamine agonists.",2.49,5,data\Parkinson_Disease\guidelines\EPG\eu_guideline_parkinson_guideline_for_pt_s1.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf | data\Parkinson_Disease\foundation_resources\Parkinson_Foundation\hospital-safety-guide-april-2026.pdf
